ORDERKEY;ORDERDATE;DELIVERYDATE;CUSTOMERKEY;CHANNELKEY;PAYMENTMETHODKEY;DELIVERYMETHODKEY;COUNTRYKEY;DELIVERYCOST;ORDERSTATUSKEY
SO68678;20-04-2020;27-04-2020;13108;1;4;3;2;6,42;4
SO68679;20-04-2020;27-04-2020;12705;1;4;1;6;9,94;4
SO68680;20-04-2020;27-04-2020;12706;2;3;4;10;3,7;4
SO68681;20-04-2020;27-04-2020;13012;2;3;2;8;5,09;4
SO68682;20-04-2020;27-04-2020;13075;1;2;1;8;7,6;4
SO68683;21-04-2020;28-04-2020;17259;1;1;3;8;1,15;4
SO68684;21-04-2020;28-04-2020;14209;2;3;3;8;0;4
SO68685;21-04-2020;28-04-2020;24453;2;1;3;7;1,65;4
SO68686;21-04-2020;28-04-2020;13158;1;3;4;2;4,12;4
SO68687;21-04-2020;28-04-2020;13794;2;4;1;3;3,65;4
SO68688;21-04-2020;28-04-2020;18625;1;4;1;7;4,9;4
SO68689;21-04-2020;28-04-2020;11638;2;1;4;4;8,1;4
SO68690;21-04-2020;28-04-2020;29257;1;1;2;4;0;4
SO68691;21-04-2020;28-04-2020;14077;1;1;4;2;3,91;4
SO68692;21-04-2020;28-04-2020;27988;1;2;3;4;5,92;4
SO68693;21-04-2020;28-04-2020;28252;1;1;3;4;2,3;4
SO68694;21-04-2020;28-04-2020;27922;1;4;3;1;2,38;4
SO68695;21-04-2020;28-04-2020;11784;2;4;3;7;2,36;4
SO68696;21-04-2020;28-04-2020;14363;1;1;2;8;6,6;4
SO68697;21-04-2020;28-04-2020;23335;2;4;3;1;7,93;4
SO68698;21-04-2020;28-04-2020;23741;1;2;4;1;0;4
SO68699;21-04-2020;28-04-2020;21687;1;1;3;4;2,33;4
SO68700;21-04-2020;28-04-2020;12936;2;3;1;6;8,56;4
SO68701;21-04-2020;28-04-2020;22350;2;3;4;1;6,15;4
SO68702;21-04-2020;28-04-2020;20098;1;4;2;4;8,8;4
SO68703;21-04-2020;28-04-2020;18119;2;1;4;4;6,61;4
SO68704;21-04-2020;28-04-2020;17679;2;4;1;1;9,57;4
SO68705;21-04-2020;28-04-2020;14504;1;1;1;7;7,33;4
SO68706;21-04-2020;28-04-2020;17382;1;2;1;4;6,88;4
SO68707;21-04-2020;28-04-2020;15401;2;4;3;4;4,71;4
SO68708;21-04-2020;28-04-2020;16719;1;2;4;4;1,94;4
SO68709;21-04-2020;28-04-2020;25664;2;3;1;8;5,33;4
SO68710;21-04-2020;28-04-2020;24125;2;4;3;2;2,26;4
SO68711;21-04-2020;28-04-2020;11566;1;2;2;9;2,83;4
SO68712;21-04-2020;28-04-2020;11638;2;2;4;4;3,11;4
SO68713;21-04-2020;28-04-2020;13535;1;3;3;9;8,46;4
SO68714;21-04-2020;28-04-2020;12517;1;4;2;9;3,69;4
SO68715;21-04-2020;28-04-2020;16108;1;2;4;1;1,31;4
SO68716;21-04-2020;28-04-2020;18392;1;2;2;9;9,38;4
SO68717;21-04-2020;28-04-2020;14911;2;2;2;9;8,66;4
SO68718;21-04-2020;28-04-2020;16753;2;3;4;1;2,26;4
SO68719;21-04-2020;28-04-2020;16755;2;4;3;1;4,31;4
SO68720;21-04-2020;28-04-2020;15587;2;2;3;6;6,08;4
SO68721;21-04-2020;28-04-2020;26661;2;2;1;10;1,1;4
SO68722;21-04-2020;28-04-2020;15438;1;4;1;3;4,26;4
SO68723;21-04-2020;28-04-2020;25010;2;2;3;8;4,72;4
SO68724;21-04-2020;28-04-2020;21945;2;4;4;10;2,07;4
SO68725;21-04-2020;28-04-2020;29278;2;2;3;4;5,48;4
SO68726;21-04-2020;28-04-2020;27459;1;4;1;4;2,47;4
SO68727;21-04-2020;28-04-2020;27407;2;3;4;1;9,18;4
SO68728;21-04-2020;28-04-2020;27427;1;4;3;4;2,99;4
SO68729;21-04-2020;28-04-2020;15304;2;3;1;10;9,42;4
SO68730;21-04-2020;28-04-2020;23407;1;3;2;4;7,93;4
SO68731;21-04-2020;28-04-2020;23214;1;3;2;4;7,07;4
SO68732;21-04-2020;28-04-2020;18344;2;1;3;4;3,75;4
SO68733;21-04-2020;28-04-2020;20878;2;3;3;2;8,74;4
SO68734;21-04-2020;28-04-2020;29461;2;4;2;6;3,77;4
SO68735;21-04-2020;28-04-2020;14667;1;3;3;9;4,76;4
SO68736;21-04-2020;28-04-2020;12684;2;3;1;8;4,34;4
SO68737;21-04-2020;28-04-2020;12687;2;4;3;2;8,76;4
SO68738;21-04-2020;28-04-2020;12999;2;1;3;6;7,51;4
SO68739;22-04-2020;29-04-2020;14517;1;2;4;3;6,49;4
SO68740;22-04-2020;29-04-2020;15237;2;3;3;9;3,89;4
SO68741;22-04-2020;29-04-2020;11921;2;2;1;9;8,44;4
SO68742;22-04-2020;29-04-2020;22956;2;2;4;8;7,79;4
SO68743;22-04-2020;29-04-2020;11467;2;1;4;2;5,33;4
SO68744;22-04-2020;29-04-2020;15206;2;3;1;10;7,07;4
SO68745;22-04-2020;29-04-2020;18262;2;4;3;9;3,12;4
SO68746;22-04-2020;29-04-2020;17500;2;3;3;3;0;4
SO68747;22-04-2020;29-04-2020;17960;2;2;3;6;7,65;4
SO68748;22-04-2020;29-04-2020;14158;2;4;3;2;8,15;4
SO68749;22-04-2020;29-04-2020;19253;2;4;3;6;2,4;4
SO68750;22-04-2020;29-04-2020;15655;1;3;4;2;4,24;4
SO68751;22-04-2020;29-04-2020;26267;2;1;2;4;4,4;4
SO68752;22-04-2020;29-04-2020;26612;2;2;2;4;3,33;4
SO68753;22-04-2020;29-04-2020;12936;2;2;3;2;2,15;4
SO68754;22-04-2020;29-04-2020;18884;2;4;2;9;1,14;4
SO68755;22-04-2020;29-04-2020;23517;1;1;2;1;0;4
SO70170;09-05-2020;16-05-2020;19575;2;2;3;10;1,96;4
SO70171;09-05-2020;16-05-2020;20560;2;2;2;6;5,03;4
SO70172;09-05-2020;16-05-2020;12717;1;1;4;6;8,42;4
SO70173;09-05-2020;16-05-2020;19943;2;1;2;6;7,68;4
SO70174;09-05-2020;16-05-2020;28975;1;2;1;4;8,96;4
SO70175;09-05-2020;16-05-2020;11619;2;4;1;9;5,17;4
SO70176;09-05-2020;16-05-2020;11277;2;2;1;9;0;4
SO70177;09-05-2020;16-05-2020;23152;1;1;1;1;6,41;4
SO70178;09-05-2020;16-05-2020;19000;2;1;4;8;9,73;4
SO70179;09-05-2020;16-05-2020;22326;2;4;1;1;0;4
SO70180;09-05-2020;16-05-2020;22979;2;3;2;4;9,94;4
SO70181;09-05-2020;16-05-2020;23275;1;4;2;4;1,27;4
SO70182;09-05-2020;16-05-2020;18821;2;2;3;6;3,46;4
SO70183;09-05-2020;16-05-2020;28121;1;1;1;10;5,59;4
SO70184;09-05-2020;16-05-2020;18408;1;3;2;1;6,56;4
SO70185;09-05-2020;16-05-2020;29104;2;1;4;8;7,72;4
SO70186;09-05-2020;16-05-2020;19115;2;4;3;4;3,45;4
SO70187;09-05-2020;16-05-2020;18994;2;2;3;1;8,64;4
SO70188;09-05-2020;16-05-2020;25196;1;1;2;7;4,97;4
SO70189;09-05-2020;16-05-2020;16650;1;1;3;1;4,73;4
SO70190;09-05-2020;16-05-2020;29231;2;1;3;8;9,29;4
SO70191;09-05-2020;16-05-2020;23488;1;2;3;8;2,4;4
SO70192;09-05-2020;16-05-2020;14251;1;1;3;4;9,04;4
SO70193;09-05-2020;16-05-2020;13932;2;4;1;4;5,39;4
SO70194;09-05-2020;16-05-2020;16058;2;4;3;9;6,58;4
SO70195;09-05-2020;16-05-2020;13655;1;1;1;1;1,88;4
SO70196;09-05-2020;16-05-2020;19081;2;1;2;7;4,51;4
SO70197;09-05-2020;16-05-2020;24578;2;2;2;7;5,96;4
SO70198;09-05-2020;16-05-2020;19179;2;3;4;7;0;4
SO70199;09-05-2020;16-05-2020;20956;2;2;2;10;4,51;4
SO70200;09-05-2020;16-05-2020;22658;2;2;2;7;6,48;4
SO70201;09-05-2020;16-05-2020;27886;2;3;3;8;9,61;4
SO70202;09-05-2020;16-05-2020;27950;1;4;2;3;3,39;4
SO70203;09-05-2020;16-05-2020;11091;2;1;3;2;2,75;4
SO70204;09-05-2020;16-05-2020;13826;2;3;4;8;0;4
SO70205;09-05-2020;16-05-2020;11728;2;3;3;1;6,86;4
SO70206;09-05-2020;16-05-2020;11841;1;1;1;7;1,18;4
SO70207;09-05-2020;16-05-2020;13167;1;4;1;4;1,45;4
SO70208;09-05-2020;16-05-2020;13073;2;4;2;4;2,01;4
SO70209;09-05-2020;16-05-2020;13222;1;4;1;7;7,43;4
SO70210;09-05-2020;16-05-2020;16142;2;2;1;1;8,74;4
SO70211;09-05-2020;16-05-2020;17460;1;1;3;4;9,74;4
SO70212;09-05-2020;16-05-2020;17474;2;3;2;4;0;4
SO70213;09-05-2020;16-05-2020;17499;2;2;4;4;5,08;4
SO70214;09-05-2020;16-05-2020;17535;1;4;2;1;8,22;4
SO70215;09-05-2020;16-05-2020;15255;1;1;3;4;7,73;4
SO70216;09-05-2020;16-05-2020;12031;2;1;4;3;2,3;4
SO70217;09-05-2020;16-05-2020;13248;1;3;3;1;5,07;4
SO70218;09-05-2020;16-05-2020;12418;2;3;2;1;8,55;4
SO70219;09-05-2020;16-05-2020;18950;2;4;2;3;6,81;4
SO70220;09-05-2020;16-05-2020;17136;2;3;2;1;4,28;4
SO70221;09-05-2020;16-05-2020;17156;1;4;2;4;1,83;4
SO70222;09-05-2020;16-05-2020;13690;1;3;1;2;9,19;4
SO70223;09-05-2020;16-05-2020;29368;1;4;4;9;3,23;4
SO70224;09-05-2020;16-05-2020;26438;2;4;1;3;2,14;4
SO70225;09-05-2020;16-05-2020;25937;1;1;2;6;8,2;4
SO70226;09-05-2020;16-05-2020;12585;2;2;2;6;4,96;4
SO70227;09-05-2020;16-05-2020;15756;1;2;4;8;6,07;4
SO70228;09-05-2020;16-05-2020;13050;2;4;3;6;1,92;4
SO70229;09-05-2020;16-05-2020;11191;1;2;1;4;1,37;4
SO70230;09-05-2020;16-05-2020;26241;1;1;2;4;7,65;4
SO70231;09-05-2020;16-05-2020;11082;2;2;2;4;7,19;4
SO70232;09-05-2020;16-05-2020;27568;1;4;1;1;6,13;4
SO70233;09-05-2020;16-05-2020;28064;1;1;3;1;0;4
SO70234;09-05-2020;16-05-2020;27623;1;1;4;4;6,54;4
SO70235;09-05-2020;16-05-2020;27669;2;4;4;4;6,38;4
SO70236;09-05-2020;16-05-2020;22901;1;1;3;10;2,4;4
SO70237;09-05-2020;16-05-2020;23835;1;2;2;4;4,81;4
SO70238;09-05-2020;16-05-2020;21922;2;1;1;4;8,33;4
SO70239;09-05-2020;16-05-2020;20651;2;3;2;10;4,02;4
SO70240;09-05-2020;16-05-2020;21606;2;1;4;1;9,14;4
SO70241;09-05-2020;16-05-2020;18800;2;2;4;1;0;4
SO70242;09-05-2020;16-05-2020;21593;2;1;1;4;1,53;4
SO70243;09-05-2020;16-05-2020;21594;1;2;4;4;2,91;4
SO70244;09-05-2020;16-05-2020;25488;2;4;3;9;4,17;4
SO70245;09-05-2020;16-05-2020;27762;2;1;2;6;7,73;4
SO70246;09-05-2020;16-05-2020;15120;1;1;3;8;9,09;4
SO70247;09-05-2020;16-05-2020;29299;1;4;4;6;7,35;4
SO70248;10-05-2020;17-05-2020;19289;2;2;1;6;5,06;4
SO70249;10-05-2020;17-05-2020;12409;1;4;3;4;5,87;4
SO70250;10-05-2020;17-05-2020;11950;1;4;2;4;3,52;4
SO70251;10-05-2020;17-05-2020;11148;1;2;1;8;7,98;4
SO70252;10-05-2020;17-05-2020;18763;1;3;4;7;9,5;4
SO70253;10-05-2020;17-05-2020;28310;1;3;1;6;1,7;4
SO70254;10-05-2020;17-05-2020;11371;1;1;1;6;6,41;4
SO70255;10-05-2020;17-05-2020;16445;2;2;1;6;7,21;4
SO70256;10-05-2020;17-05-2020;16509;1;1;2;6;9,25;4
SO70257;10-05-2020;17-05-2020;14947;2;3;1;8;8,15;4
SO70258;10-05-2020;17-05-2020;19298;1;1;2;6;8,44;4
SO70259;10-05-2020;17-05-2020;19911;2;1;3;7;0;4
SO70260;10-05-2020;17-05-2020;20555;2;3;1;10;6,87;4
SO70261;10-05-2020;17-05-2020;28800;2;2;4;4;6,53;4
SO70262;10-05-2020;17-05-2020;29077;2;1;1;4;3,86;4
SO70263;10-05-2020;17-05-2020;27031;2;4;1;4;3,15;4
SO70264;10-05-2020;17-05-2020;11091;1;1;3;6;9,19;4
SO70265;10-05-2020;17-05-2020;24509;2;3;4;1;0;4
SO70266;10-05-2020;17-05-2020;12431;1;3;4;8;8,52;4
SO70267;10-05-2020;17-05-2020;22740;1;1;1;4;0;4
SO70268;10-05-2020;17-05-2020;20432;2;2;4;1;2,65;4
SO70269;10-05-2020;17-05-2020;12919;2;1;2;9;5,95;4
SO70270;10-05-2020;17-05-2020;17539;2;3;1;8;4,79;4
SO70271;10-05-2020;17-05-2020;18940;1;2;2;1;0;4
SO70272;10-05-2020;17-05-2020;28027;2;3;4;6;7,42;4
SO70273;10-05-2020;17-05-2020;18397;2;3;3;5;9,15;4
SO70274;10-05-2020;17-05-2020;17528;1;1;2;1;4,87;4
SO70275;10-05-2020;17-05-2020;15736;1;4;3;4;3,72;4
SO70276;10-05-2020;17-05-2020;23362;1;2;3;8;7,42;4
SO70277;10-05-2020;17-05-2020;21544;1;2;1;6;3,43;4
SO70278;10-05-2020;17-05-2020;17643;1;1;1;9;8,24;4
SO70279;10-05-2020;17-05-2020;17878;1;4;3;6;9,22;4
SO70280;10-05-2020;17-05-2020;27827;2;3;1;8;8,18;4
SO70281;10-05-2020;17-05-2020;22454;2;2;4;9;6;4
SO70282;10-05-2020;17-05-2020;27849;1;4;2;9;6,61;4
SO70283;10-05-2020;17-05-2020;28920;1;1;1;10;5,56;4
SO70284;10-05-2020;17-05-2020;11510;2;1;3;6;3,5;4
SO70285;10-05-2020;17-05-2020;11159;2;4;3;4;5,39;4
SO70286;10-05-2020;17-05-2020;12958;1;3;3;1;4,24;4
SO70287;10-05-2020;17-05-2020;11521;1;4;4;1;1,28;4
SO70288;10-05-2020;17-05-2020;13342;1;4;2;4;0;4
SO70289;10-05-2020;17-05-2020;11390;1;3;4;6;2,18;4
SO70290;10-05-2020;17-05-2020;15287;2;3;4;1;5,2;4
SO70291;10-05-2020;17-05-2020;18113;1;1;1;4;3,4;4
SO70292;10-05-2020;17-05-2020;13400;1;4;3;4;1,28;4
SO70293;10-05-2020;17-05-2020;18353;2;1;4;1;4,21;4
SO70294;10-05-2020;17-05-2020;17001;2;1;3;1;8,14;4
SO70295;10-05-2020;17-05-2020;13359;2;4;1;4;4,26;4
SO70296;10-05-2020;17-05-2020;13743;1;4;4;9;0;4
SO70297;10-05-2020;17-05-2020;17139;2;2;1;4;0;4
SO70298;10-05-2020;17-05-2020;26152;2;3;4;10;3,62;4
SO70299;10-05-2020;17-05-2020;11171;2;4;1;4;1,71;4
SO70300;10-05-2020;17-05-2020;24284;2;4;3;8;2,12;4
SO70301;10-05-2020;17-05-2020;27574;2;3;4;4;7,46;4
SO70302;10-05-2020;17-05-2020;26001;2;2;1;1;0;4
SO70303;10-05-2020;17-05-2020;27920;2;1;2;4;7,32;4
SO70304;10-05-2020;17-05-2020;21638;2;2;4;1;3,33;4
SO70305;10-05-2020;17-05-2020;14883;2;4;3;4;7,41;4
SO70306;10-05-2020;17-05-2020;18645;1;2;1;1;3,07;4
SO65920;10-03-2020;17-03-2020;24081;1;2;4;6;9,57;4
SO65921;10-03-2020;17-03-2020;24106;1;4;1;6;0;4
SO65922;10-03-2020;17-03-2020;11306;1;1;4;4;9,13;4
SO65923;10-03-2020;17-03-2020;11308;2;4;1;1;6,51;4
SO65924;10-03-2020;17-03-2020;15448;2;1;2;6;7,08;4
SO65925;10-03-2020;17-03-2020;18852;2;3;1;7;0;4
SO65926;10-03-2020;17-03-2020;13232;1;3;2;1;7,01;4
SO65927;10-03-2020;17-03-2020;12502;2;4;3;6;7,01;4
SO65928;10-03-2020;17-03-2020;16770;2;1;1;4;8,02;4
SO65929;10-03-2020;17-03-2020;19824;1;4;4;1;5,42;4
SO65930;10-03-2020;17-03-2020;14877;1;2;3;9;6,75;4
SO65931;10-03-2020;17-03-2020;15914;2;3;2;1;2,96;4
SO65932;10-03-2020;17-03-2020;15989;1;1;3;4;3,75;4
SO65933;10-03-2020;17-03-2020;15453;2;3;4;9;5,53;4
SO65934;10-03-2020;17-03-2020;11491;1;4;1;10;9,52;4
SO65935;10-03-2020;17-03-2020;16595;1;2;3;10;2,83;4
SO65936;10-03-2020;17-03-2020;21194;2;4;3;8;5,37;4
SO65937;10-03-2020;17-03-2020;17915;1;4;2;9;2,61;4
SO65938;10-03-2020;17-03-2020;17918;1;3;3;9;7,93;4
SO65939;10-03-2020;17-03-2020;26019;1;2;1;6;8,76;4
SO65940;10-03-2020;17-03-2020;14673;2;4;3;6;7,11;4
SO65941;10-03-2020;17-03-2020;21226;1;3;4;8;6,09;4
SO65942;10-03-2020;17-03-2020;18277;2;3;2;7;9,21;4
SO65943;10-03-2020;17-03-2020;26532;2;4;1;4;1,16;4
SO65944;10-03-2020;17-03-2020;25910;1;2;4;4;3,67;4
SO65945;10-03-2020;17-03-2020;21267;1;2;4;1;2,5;4
SO65946;10-03-2020;17-03-2020;18059;1;4;1;1;9,37;4
SO65947;10-03-2020;17-03-2020;24212;1;2;3;6;8,63;4
SO65948;10-03-2020;17-03-2020;17864;2;2;2;1;4,47;4
SO65949;10-03-2020;17-03-2020;14324;2;4;1;10;7,79;4
SO65950;11-03-2020;18-03-2020;18139;2;3;2;6;1,56;4
SO65951;11-03-2020;18-03-2020;13783;2;2;1;7;4,57;4
SO65952;11-03-2020;18-03-2020;18131;1;2;3;6;6,72;4
SO65953;11-03-2020;18-03-2020;14686;1;2;4;6;4,08;4
SO65954;11-03-2020;18-03-2020;15136;1;2;2;8;1,23;4
SO65955;11-03-2020;18-03-2020;25263;1;2;2;7;6,33;4
SO65956;11-03-2020;18-03-2020;20406;1;1;2;10;4,98;4
SO65957;11-03-2020;18-03-2020;22151;2;4;3;6;6,46;4
SO65958;11-03-2020;18-03-2020;28218;1;4;4;7;7,59;4
SO65959;11-03-2020;18-03-2020;18137;1;4;4;7;0;4
SO65960;11-03-2020;18-03-2020;16448;2;4;2;7;0;4
SO65961;11-03-2020;18-03-2020;16262;1;2;4;8;8,13;4
SO65962;11-03-2020;18-03-2020;14709;2;4;1;6;1,11;4
SO65963;11-03-2020;18-03-2020;11159;2;2;2;4;7,18;4
SO65964;11-03-2020;18-03-2020;29003;1;3;1;4;6,52;4
SO65965;11-03-2020;18-03-2020;28641;1;4;1;1;2,55;4
SO65966;11-03-2020;18-03-2020;13941;1;3;3;6;1,04;4
SO65967;11-03-2020;18-03-2020;11019;2;2;1;8;0;4
SO65968;11-03-2020;18-03-2020;11520;2;2;3;9;7,99;4
SO65969;11-03-2020;18-03-2020;13707;1;4;3;8;0;4
SO65970;11-03-2020;18-03-2020;24974;2;2;4;4;6,92;4
SO65971;11-03-2020;18-03-2020;12945;1;2;1;6;8,57;4
SO65972;11-03-2020;18-03-2020;28575;1;1;3;7;1,17;4
SO65973;11-03-2020;18-03-2020;13290;1;2;4;7;3,57;4
SO65974;11-03-2020;18-03-2020;18498;2;4;1;4;6,57;4
SO65975;11-03-2020;18-03-2020;11300;1;1;2;8;1,74;4
SO65976;11-03-2020;18-03-2020;21489;2;3;1;8;5,76;4
SO65977;11-03-2020;18-03-2020;19750;1;2;2;6;4,77;4
SO65978;11-03-2020;18-03-2020;13879;1;2;4;4;4,98;4
SO65979;11-03-2020;18-03-2020;13863;2;1;3;4;8,4;4
SO65980;11-03-2020;18-03-2020;14687;2;4;4;7;4,93;4
SO65981;11-03-2020;18-03-2020;19349;1;4;1;9;0;4
SO65982;11-03-2020;18-03-2020;17215;2;2;2;6;2,69;4
SO65983;11-03-2020;18-03-2020;22657;1;3;4;7;3,85;4
SO65984;11-03-2020;18-03-2020;16468;2;4;1;6;3,35;4
SO65985;11-03-2020;18-03-2020;19461;2;1;1;6;9,27;4
SO65986;11-03-2020;18-03-2020;18018;2;2;2;6;3,21;4
SO65987;11-03-2020;18-03-2020;23627;1;2;2;8;7,07;4
SO65988;11-03-2020;18-03-2020;25631;1;2;1;7;3,37;4
SO65989;11-03-2020;18-03-2020;23911;1;1;4;6;6,38;4
SO65990;11-03-2020;18-03-2020;16543;2;4;2;9;3,08;4
SO65991;11-03-2020;18-03-2020;14092;2;2;3;1;7,63;4
SO65992;11-03-2020;18-03-2020;11814;1;2;4;1;4,09;4
SO65993;11-03-2020;18-03-2020;12534;2;2;1;8;9,4;4
SO65994;11-03-2020;18-03-2020;11565;1;2;3;7;3,15;4
SO65995;11-03-2020;18-03-2020;12600;1;4;2;8;8,25;4
SO65996;11-03-2020;18-03-2020;16080;1;3;1;4;6,97;4
SO65997;11-03-2020;18-03-2020;14874;1;2;4;9;6,21;4
SO65998;11-03-2020;18-03-2020;14757;1;1;4;4;0;4
SO65999;11-03-2020;18-03-2020;15934;2;2;1;1;4,33;4
SO66000;11-03-2020;18-03-2020;15770;2;3;1;4;8,81;4
SO66001;11-03-2020;18-03-2020;15518;1;4;3;4;9,67;4
SO66002;11-03-2020;18-03-2020;12881;1;2;1;4;5,23;4
SO66003;11-03-2020;18-03-2020;15998;1;4;2;4;0;4
SO66004;11-03-2020;18-03-2020;26221;1;3;3;6;7,85;4
SO66005;11-03-2020;18-03-2020;11432;1;2;3;6;1,22;4
SO66006;11-03-2020;18-03-2020;21197;2;1;3;6;5,66;4
SO66007;11-03-2020;18-03-2020;27706;2;3;4;10;5,13;4
SO66008;11-03-2020;18-03-2020;24176;2;1;1;9;5,69;4
SO66009;11-03-2020;18-03-2020;27092;2;4;1;4;7,98;4
SO66010;11-03-2020;18-03-2020;23394;2;2;4;4;6,24;4
SO66011;11-03-2020;18-03-2020;24017;2;3;3;9;5,7;4
SO66012;11-03-2020;18-03-2020;18139;2;3;4;10;3,71;4
SO66013;11-03-2020;18-03-2020;14103;2;3;1;8;8,53;4
SO66014;11-03-2020;18-03-2020;29456;2;4;3;7;3,69;4
SO66015;12-03-2020;19-03-2020;15169;2;4;1;6;5,78;4
SO66016;12-03-2020;19-03-2020;17947;1;4;2;6;6,79;4
SO66017;12-03-2020;19-03-2020;22503;2;4;1;8;8,85;4
SO66018;12-03-2020;19-03-2020;18132;2;3;1;10;9,51;4
SO66019;12-03-2020;19-03-2020;12501;1;1;1;6;8,78;4
SO66020;12-03-2020;19-03-2020;16205;1;2;2;9;6,99;4
SO66021;12-03-2020;19-03-2020;18183;1;2;2;7;7,22;4
SO66022;12-03-2020;19-03-2020;18133;1;4;3;8;0;4
SO66023;12-03-2020;19-03-2020;13621;2;1;1;6;3,61;4
SO66024;12-03-2020;19-03-2020;17303;2;1;1;6;4,63;4
SO66025;12-03-2020;19-03-2020;17282;2;4;1;8;9,23;4
SO66026;12-03-2020;19-03-2020;27144;2;2;3;9;9,58;4
SO66027;12-03-2020;19-03-2020;21360;1;2;3;6;1,24;4
SO66028;12-03-2020;19-03-2020;11758;1;2;2;7;7,66;4
SO66029;12-03-2020;19-03-2020;13034;2;2;2;6;0;4
SO66030;12-03-2020;19-03-2020;18136;1;4;3;6;9,47;4
SO66031;12-03-2020;19-03-2020;16475;1;2;1;8;6,62;4
SO66032;12-03-2020;19-03-2020;11201;2;4;4;4;9,25;4
SO66033;12-03-2020;19-03-2020;29330;1;3;1;1;9,68;4
SO66034;12-03-2020;19-03-2020;27225;2;1;2;4;4,07;4
SO66035;12-03-2020;19-03-2020;11506;1;4;4;8;2,46;4
SO66036;12-03-2020;19-03-2020;11832;2;2;2;1;9,15;4
SO66037;12-03-2020;19-03-2020;14341;2;2;4;6;1,58;4
SO66038;12-03-2020;19-03-2020;26535;1;3;2;1;8,54;4
SO66039;12-03-2020;19-03-2020;25345;1;2;4;4;7,96;4
SO66040;12-03-2020;19-03-2020;11185;1;2;3;9;3,61;4
SO66041;12-03-2020;19-03-2020;22783;1;1;4;1;5,22;4
SO66042;12-03-2020;19-03-2020;21716;2;3;3;1;3,38;4
SO66043;12-03-2020;19-03-2020;18825;2;2;2;4;8,24;4
SO66044;12-03-2020;19-03-2020;18531;2;2;4;4;7,11;4
SO66045;12-03-2020;19-03-2020;18037;2;2;4;7;1,2;4
SO66046;12-03-2020;19-03-2020;17888;1;1;3;10;0;4
SO66047;12-03-2020;19-03-2020;21867;2;4;3;7;4,24;4
SO66048;12-03-2020;19-03-2020;11213;1;4;4;1;4,78;4
SO66049;12-03-2020;19-03-2020;13030;2;4;1;4;0;4
SO66050;12-03-2020;19-03-2020;15781;1;2;1;4;9,11;4
SO66051;12-03-2020;19-03-2020;17175;2;2;3;7;8,26;4
SO66052;12-03-2020;19-03-2020;15542;2;2;2;4;2,6;4
SO66053;12-03-2020;19-03-2020;16079;1;4;4;4;0;4
SO66054;12-03-2020;19-03-2020;15941;2;1;2;4;2,91;4
SO66055;12-03-2020;19-03-2020;15952;2;3;1;1;4,34;4
SO66056;12-03-2020;19-03-2020;15959;1;1;3;1;4,13;4
SO67385;01-04-2020;08-04-2020;16126;1;3;4;4;6,11;4
SO67386;01-04-2020;08-04-2020;13086;2;3;1;1;3,88;4
SO67387;01-04-2020;08-04-2020;16148;1;4;4;4;0;4
SO67388;01-04-2020;08-04-2020;16105;1;4;4;1;8,78;4
SO67389;01-04-2020;08-04-2020;15586;2;1;3;8;4,59;4
SO67390;01-04-2020;08-04-2020;15135;1;4;1;7;5,7;4
SO67391;01-04-2020;08-04-2020;26660;2;2;2;9;2,91;4
SO67392;01-04-2020;08-04-2020;26135;1;3;1;9;2,25;4
SO67393;01-04-2020;08-04-2020;29291;2;1;1;8;5,01;4
SO67394;01-04-2020;08-04-2020;18200;2;3;4;6;2,95;4
SO67395;01-04-2020;08-04-2020;27114;2;2;2;4;6,1;4
SO67396;01-04-2020;08-04-2020;23370;2;2;4;1;1,4;4
SO67397;01-04-2020;08-04-2020;23701;1;4;1;4;0;4
SO67398;01-04-2020;08-04-2020;21486;1;3;2;4;7,91;4
SO67399;01-04-2020;08-04-2020;21357;2;1;3;1;4,69;4
SO67400;01-04-2020;08-04-2020;21369;1;2;4;4;0;4
SO67401;01-04-2020;08-04-2020;21482;2;4;1;1;2,62;4
SO67402;01-04-2020;08-04-2020;18551;2;2;4;1;4,15;4
SO67403;01-04-2020;08-04-2020;18360;2;4;2;4;8,6;4
SO67404;01-04-2020;08-04-2020;18409;1;2;2;4;2,29;4
SO67405;01-04-2020;08-04-2020;18227;2;4;1;1;0;4
SO67406;01-04-2020;08-04-2020;18233;1;2;3;1;2,66;4
SO67407;01-04-2020;08-04-2020;20874;1;4;1;8;2,77;4
SO67408;01-04-2020;08-04-2020;28554;1;3;2;8;1,04;4
SO67409;01-04-2020;08-04-2020;28555;1;1;4;8;7,34;4
SO67410;01-04-2020;08-04-2020;23222;2;4;3;7;5,83;4
SO67411;01-04-2020;08-04-2020;24716;2;2;1;8;4,68;4
SO67412;01-04-2020;08-04-2020;28734;1;2;1;6;1,14;4
SO67413;01-04-2020;08-04-2020;25634;2;3;2;9;7,64;4
SO67414;01-04-2020;08-04-2020;12689;1;1;3;9;5,18;4
SO67415;01-04-2020;08-04-2020;12698;1;2;2;7;1,01;4
SO67416;01-04-2020;08-04-2020;13006;2;2;4;6;2,31;4
SO67417;01-04-2020;08-04-2020;27868;1;4;3;6;8,11;4
SO67418;02-04-2020;09-04-2020;17278;1;3;2;8;1,05;4
SO67419;02-04-2020;09-04-2020;11203;1;2;1;6;4,23;4
SO67420;02-04-2020;09-04-2020;17302;1;4;1;6;2,29;4
